Bill,Flags,Title,Status,Veto,Date,Original Sponsor,Committee Sponsor,Companion Bills,Last Roll Call,Latest Committee Recommendation,Secondary Sponsor,Sponsor (combined),This Committee Recommendation
HB 1065,fo,Out-of-network health care,H subst for,,3/4/19,Cody,,SB 5031(S Health & Long),,,Jinkins,Cody,
HB 1066,fd,Debt collection complaints,C 201 L 19,,4/30/19,Kilduff,,SB 5034(S Rules X),31-17-0-1,,Valdez,Kilduff,
HB 1067,fd,Employment after public serv,H Rules R,,1/24/19,Pellicciotti,,SB 5033(S State Govt/Tri),,,Pollet,Pellicciotti,
HB 1068,fd#,High capacity magazines,H Rules R,,2/5/19,Valdez,,SB 5062(S Rules X),,,Jinkins,Valdez,
HB 1069,fo,Insurance fraud surcharge,H Approps,,1/22/19,Stanford,,,,,Reeves,Stanford,
HB 1070,f,Natural gas tax treatment,C 202 L 19,,4/30/19,Mosbrucker,,"SB 5108(S Environment, E)",47-1-0-1,,Fitzgibbon,Mosbrucker,
HB 1071,fd#,Personal information,H subst for,,3/1/19,Kloba,,SB 5064(S Rules X),,,Dolan,Kloba,
HB 1072,fd,Prevailing wage laws,H Rules C,,3/21/19,Sells,,SB 5035(S subst for),,,Doglio,Sells,
HB 1073,fd#,Undetectable firearms,H Civil R & Judi,,1/14/19,Valdez,,SB 5061(S Rules X),,,Orwall,Valdez,
EHB 1074,fd#,Tobacco & vapor products/age,C 15 L 19,,4/5/19,Harris,,SB 5057(S Ways & Means),33-12-0-4,,Orwall,Harris,
HB 1075,,Consumer comp grp insurance,H subst for,,3/9/19,Kirby,,SB 5065(S Rules X),,,Vick,Kirby,
HB 1076,fo,Common schools,H Rules C,,2/15/19,Dolan,,SB 5067(S subst for),,,Jinkins,Dolan,
HB 1077,f#,Governmental continuity,H Approps,,1/23/19,Goodman,,SB 5012(S subst for),,,Klippert,Goodman,
HB 1078,,Hearing instruments/notices,H HC/Wellness,,1/14/19,Dolan,,ESB 5210(C 183 L 19),,,Kloba,Dolan,
HB 1079,f,Board of regents/faculty,H Rules 3C,,4/28/19,Pollet,,,86-12-0-0,,Kloba,Pollet,
HB 1080,f,Domestic violence registry,H Public Safety,,1/14/19,Klippert,,,,,Eslick,Klippert,
HB 1081,,Supreme court judges,H Civil R & Judi,,1/14/19,Klippert,,,,,Shea,Klippert,
HB 1082,f,Massage therapists/photo,H subst for,,3/13/19,Kraft,,SB 5097(S Rules X),,,Wylie,Kraft,
HB 1083,f#,"Off-street parking, sale of",H subst for,,3/5/19,Stonier,,,,,Vick,Stonier,
HB 1084,f,Higher ed. athlete comp.,H Coll & Wkf Dev,,1/14/19,Stokesbary,,SB 5875(S Ways & Means),,,Young,Stokesbary,
HB 1085,f#,PEBB retiree premiums,H Approps,,1/14/19,Dolan,,SB 5469(S Ways & Means),,,Kilduff,Dolan,
HB 1086,f#,Public defense funding,H Approps,,1/29/19,Chapman,,SB 5098(S Law & Justice),,,Harris,Chapman,
HB 1087,f,Long-term services & support,H subst for,,2/21/19,Jinkins,,SB 5331(S Ways & Means),,,MacEwen,Jinkins,
HB 1088,,Littering restitution,H Rules C,,3/21/19,MacEwen,,,,,,MacEwen,
HB 1089,f,Certificates of achievement,H Rules 3C,,4/28/19,MacEwen,,,84-13-0-1,,Volz,MacEwen,
HB 1090,f,Senior citizens/prop. taxes,H Finance,,1/14/19,MacEwen,,,,,Shea,MacEwen,
HB 1091,o,Technical corrections,H subst for,,3/4/19,Goodman,,,,,,Goodman,
HB 1092,f#,Metro. park district comm'rs,C 198 L 19,,4/29/19,Fey,,SB 5036(S Rules 3),42-6-0-1,,Jinkins,Fey,
HB 1093,fo,Special ed. appropriations,H Approps,,1/14/19,Dolan,,SB 5312(S EL/K-12),,,Doglio,Dolan,
HB 1094,f,Medical marijuana renewals,H subst for,,3/12/19,Blake,,SB 5498(S Ways & Means),,,Walsh,Blake,
HB 1095,f,Medical marijuana/students,H subst for,,3/12/19,Blake,,SB 5442(S EL/K-12),,,Walsh,Blake,
HB 1096,f#,Commercial fishing revenue,H Approps,,1/18/19,Blake,,SB 5790(S Ag/Water/Natur),,,Walsh,Blake,
HB 1097,,Firearms/health information,H Civil R & Judi,,1/14/19,Walsh,,,,,Blake,Walsh,
HB 1098,,Unsafe storage of firearms,H Civil R & Judi,,1/14/19,Walsh,,,,,Blake,Walsh,
HB 1099,f,Health network adequacy,H subst for,,3/8/19,Jinkins,,,,,Cody,Jinkins,
HB 1100,f#,Competency eval. payment,H subst for,,3/11/19,Jinkins,,,,,,Jinkins,
HB 1101,d,State gen. obligation bonds,H subst for,,4/3/19,Tharinger,,SB 5133(S Rules 2),,,,Tharinger,
HB 1102,d,Capital budget 2019-2021,H subst for,,4/3/19,Tharinger,,SB 5134(S Rules 2),,,,Tharinger,
HB 1103,,Smoke detection devices,H ConsPro&Bus,,1/14/19,Eslick,,SB 5284(S subst for),,,Sutherland,Eslick,
HB 1104,f,WA health security trust,H HC/Wellness,,1/14/19,Appleton,,,,,Dolan,Appleton,
HB 1105,f#,Home foreclosure/taxes,H subst for,,3/9/19,Orwall,,,,,Ryu,Orwall,
HB 1106,f#,Truancy/detention,H Approps,,2/14/19,Orwall,,,,,Kilduff,Orwall,
HB 1107,f#,Nonprofit homeownership dev.,H subst for,,4/4/19,Slatter,,SB 5289(S Ways & Means),,,Ryu,Slatter,
HB 1108,d,Supp. operating budget 17-19,H Approps,,1/14/19,Ormsby,,SB 5154(S Ways & Means),,,,Ormsby,
HB 1109,d,Operating budget 2019-2021,H subst for,,3/29/19,Ormsby,,SB 5153(S Ways & Means),95-0-0-3,,,Ormsby,
HB 1110,f#,Greenhouse gas/transp. fuels,H subst for,,3/12/19,Fitzgibbon,,"SB 5412(S Environment, E)",,,Slatter,Fitzgibbon,
HB 1111,,Regionalization/islands,H Approps,,1/14/19,Fitzgibbon,,,,,Cody,Fitzgibbon,
HB 1112,f,Hydrofluorocarbon emissions,H subst for,,3/1/19,Fitzgibbon,,SB 5426(S Rules X),,,Kloba,Fitzgibbon,
HB 1113,f,Greenhouse emission limits,H Approps,,2/4/19,Slatter,,,,,Fitzgibbon,Slatter,
HB 1114,f#,Food waste reduction,H subst for,,3/9/19,Doglio,,,,,Slatter,Doglio,
HB 1115,f#,Commercial car wash taxes,H Finance,,1/14/19,Fitzgibbon,,,,,Barkis,Fitzgibbon,
HB 1116,fd,Motorcycle safety,H subst for,,3/6/19,Lovick,,SB 5303(S subst for),,,Ryu,Lovick,
HB 1117,fd,Motor vehicle laws,H Rules C,,3/21/19,Valdez,,SB 5230(C 44 L 19),,,,Valdez,
HB 1118,f,Beer & wine license/spirits,H Commerce & Gam,,1/14/19,Kirby,,SB 5682(S Rules X),,,Vick,Kirby,
HB 1119,fo,Educator evaluations,H Approps,,2/11/19,McCaslin,,SB 5158(S EL/K-12),,,Shea,McCaslin,
HB 1120,fo,State learning standards,H Rules 3C,,4/28/19,Dolan,,SB 5068(S Rules X),88-8-0-2,,,Dolan,
HB 1121,fo,High school graduation reqs,H Education,,1/14/19,Dolan,,SB 5146(S Ways & Means),,,Goodman,Dolan,
HB 1122,f,Motor vehicle tax revenues,H Approps,,1/14/19,MacEwen,,,,,Shea,MacEwen,
HB 1123,$f,CTC tuition waiver program,H Approps,,2/18/19,Pollet,,,,,Kilduff,Pollet,
HB 1124,f,Degree-granting institutions,H Approps,,2/15/19,Pollet,,,,,Frame,Pollet,
HB 1125,f#,Motorcycle helmet use,H Trans,,1/14/19,Blake,,SB 5007(S Transportation),,,Griffey,Blake,
EHB 1126,,Distributed energy,C 205 L 19,,4/30/19,Morris,,,46-2-0-1,,Ryu,Morris,
HB 1127,f#,Transp. electrification,H Env & Energy,,1/14/19,Morris,,,,,Ryu,Morris,
HB 1128,,Electric & nat gas companies,H Env & Energy,,1/14/19,Morris,,,,,,Morris,
HB 1129,,Customer-sited electricity,H Env & Energy,,1/14/19,Morris,,,,,Ryu,Morris,
HB 1130,f,Pub. school language access,H subst for,,3/4/19,Orwall,,SB 5606(S EL/K-12),,,McCaslin,Orwall,
HB 1131,f,Residential marijuana ag.,H Commerce & Gam,,1/14/19,Blake,,SB 5155(S Labor & Commer),,,MacEwen,Blake,
HB 1132,,TRS & SERS early retirement,H Approps,,1/14/19,Appleton,,SB 5178(S Ways & Means),,,Dolan,Appleton,
HB 1133,a,Apiarist liability,Del to Gov,,4/26/19,Peterson,,,96-0-0-2,,Griffey,Peterson,
HB 1134,f#,Mobile food fire safety,H Approps,,2/22/19,Peterson,,,,,Griffey,Peterson,
HB 1135,f#,Wrongful injury or death,H Rules R,,3/1/19,Santos,,SB 5163(S subst for),,,Jinkins,Santos,
HB 1136,f,Child support pass-through,H Approps,,1/29/19,Kilduff,,SB 5144(S Ways & Means),,,Goodman,Kilduff,
HB 1137,fd,Nat guard pay/wildland fires,C 66 L 19,,4/19/19,Leavitt,,SB 5196(S Rules X),47-0-0-2,,Klippert,Leavitt,
HB 1138,fd#,Tenancy termination/military,H subst for,,2/20/19,Ryu,,SB 5180(S Rules X),,,Barkis,Ryu,
HB 1139,f,Educator workforce supply,H subst for,,3/8/19,Santos,,,,,Dolan,Santos,
HB 1140,f#,Cert. child safety policy,H H Svcs & Erly,,1/15/19,Smith,,,,,Shewmake,Smith,
HB 1141,f,Child care supports/military,H H Svcs & Erly,,1/15/19,Reeves,,,,,Appleton,Reeves,
HB 1142,f,Child care assessment,H H Svcs & Erly,,1/15/19,Reeves,,,,,Gregerson,Reeves,
HB 1143,f#,Firefighting foam notices,H Rules C,,3/21/19,Reeves,,,,,Gregerson,Reeves,
HB 1144,,Child care access/military,H H Svcs & Erly,,1/15/19,Reeves,,,,,Sells,Reeves,
HB 1145,f,State employee child care,H Approps,,1/31/19,Reeves,,,,,Riccelli,Reeves,
HB 1146,f,Christmas tree growers,C 206 L 19,,4/30/19,MacEwen,,,48-0-0-1,,Young,MacEwen,
HB 1147,f#,First informer broadcasters,C 207 L 19,,4/30/19,Chapman,,SB 5186(S Rules X),44-0-0-5,,Klippert,Chapman,
HB 1148,f,Architect registration,H subst for,,3/7/19,Kirby,,,,,Vick,Kirby,
HB 1149,,Sex. assault protect. orders,Del to Gov,,4/26/19,Jinkins,,,48-0-0-1,,Griffey,Jinkins,
HB 1150,,"Digital assets, compliance",H Rules R,,2/4/19,Reeves,,,,,,Reeves,
HB 1151,fo,Education reporting,H subst for,,3/6/19,Volz,,SB 5105(S EL/K-12),,,Pollet,Volz,
HB 1152,,Motorcycle profiling,H Civil R & Judi,,1/15/19,Kirby,,,,,Blake,Kirby,
HB 1153,,Earned early release,H Public Safety,,1/15/19,Appleton,,,,,Dolan,Appleton,
HB 1154,,Chehalis basin financing,H Cap Budget,,1/15/19,DeBolt,,,,,,DeBolt,
HB 1155,f#,Health care employees,H subst for,,3/6/19,Riccelli,,SB 5190(S Rules X),,,Appleton,Riccelli,
HB 1156,,K-12 empl. benefit contracts,H Approps,,1/16/19,Appleton,,SB 5192(S EL/K-12),,,Dolan,Appleton,
HB 1157,,Initiatives/local options,H State Govt & Tr,,1/16/19,Klippert,,,,,,Klippert,
HB 1158,f,Permanent cosmetics,H subst for,,3/11/19,Ryu,,,,,Eslick,Ryu,
HB 1159,f#,Definition of theft,H Rules C,,3/21/19,Griffey,,SB 5248(S Law & Justice),,,Goodman,Griffey,
HB 1160,d,Transportation budget 19-21,H subst for,,3/29/19,Fey,,SB 5214(S Rules 2),,,Wylie,Fey,
HB 1161,d,Supp. transportation budget,H Trans,,1/16/19,Fey,,SB 5213(S Transportation),,,Wylie,Fey,
HB 1162,f#,Human remains,H Approps,,2/8/19,Kirby,,SB 5001(S subst for),,,Vick,Kirby,
HB 1163,$fo,Expanded learning opp. prgs.,H Approps,,2/22/19,Kloba,,SB 5188(S EL/K-12),,,Jinkins,Kloba,
HB 1164,fo,Dual credit programs,H Education,,1/16/19,Bergquist,,SB 5427(S EL/K-12),,,Jinkins,Bergquist,
HB 1165,,Low-water landscaping,H Rules C,,3/21/19,Orwall,,,,,Dent,Orwall,
HB 1166,f#,Sexual assault,H subst for,,3/6/19,Orwall,,,,,Mosbrucker,Orwall,
HB 1167,,Composting/nuisance lawsuits,H Rules C,,3/21/19,Walen,,SB 5476(S Ag/Water/Natur),,,Blake,Walen,
HB 1168,f#,Self-help housing dev./taxes,H subst for,,3/8/19,Leavitt,,,,,Barkis,Leavitt,
EHB 1169,f#,Fire juris. reimbursement,H Rules 3C,,4/28/19,Peterson,,,64-32-0-2,,Griffey,Peterson,
HB 1170,f#,Fire service mobilization,H subst for,,3/1/19,Griffey,,SB 5019(S Rules X),,,Goodman,Griffey,
HB 1171,fo,Trust institutions,H Rules R,,1/25/19,Walen,,SB 5107(Del to Gov),,,Vick,Walen,
HB 1172,fo,Capital gains tax/prop. tax,H Finance,,1/16/19,Santos,,SB 5314(S Ways & Means),,,Wylie,Santos,
HB 1173,fo,Obsolete school provisions,H Rules C,,2/15/19,Santos,,SB 5071(S Rules X),,,Ortiz-Self,Santos,
HB 1174,#,Cities/lowest resp. bidder,H Rules R,,2/8/19,Walsh,,SB 5225(S Local Governmen),,,Blake,Walsh,
EHB 1175,f,Health care decisions,C 209 L 19,,4/30/19,Kilduff,,,36-10-0-3,,Irwin,Kilduff,
HB 1176,afd,Businesses & professions,Del to Gov,,4/26/19,Hoff,,SB 5125(S Rules 3),96-0-0-2,,Kirby,Hoff,
HB 1177,f,Dental laboratories,C 68 L 19,,4/19/19,Stonier,,SB 5674(S Health & Long),46-0-0-3,,Caldier,Stonier,
HB 1178,f,Veteran tuition waivers,H Approps,,1/31/19,Reeves,,ESB 5755(S Rules 3),,,Orwall,Reeves,
HB 1179,fo,Uniform unclaimed property,H Approps,,2/19/19,Tarleton,,,,,,Tarleton,
HB 1180,f,TV airtime/local candidates,H State Govt & T,,1/16/19,Tarleton,,,,,Jinkins,Tarleton,
HB 1181,f#,Seniors & veterans/prop. tax,H Rules R,,2/28/19,Lekanoff,,,,,Pellicciotti,Lekanoff,
HB 1182,,Learning assistance program,H Approps,,2/11/19,Santos,,,,,Steele,Santos,
HB 1183,,Kitsap comprehensive plan,H Env & Energy,,1/16/19,Appleton,,,,,Fitzgibbon,Appleton,
HB 1184,f,School district elections,H Education,,1/16/19,Stonier,,,,,Dolan,Stonier,
HB 1185,,Medicaid rate floor,H Approps,,1/16/19,Stonier,,,,,Harris,Stonier,
HB 1186,f,Medicaid services access,H Approps,,1/16/19,Stonier,,,,,Harris,Stonier,
HB 1187,f#,Fish habitat projects,H Rules 3C,,4/28/19,Dent,,,96-0-0-2,,Blake,Dent,
HB 1188,f#,Rangeland fire associations,H Approps,,2/19/19,Dent,,,,,Blake,Dent,
HB 1189,f,Ferry system performance,H subst for,,3/1/19,Fitzgibbon,,,,,Young,Fitzgibbon,
HB 1190,,Political parties/gender,H State Govt & T,,1/16/19,Rude,,,,,Reeves,Rude,
HB 1191,f#,School notifications,H Rules R,,2/12/19,Goodman,,SB 5554(S EL/K-12),,,Frame,Goodman,
HB 1192,,Marriage/elected officials,H Rules C,,3/21/19,Hudgins,,,,,Dolan,Hudgins,
HB 1193,f,Benchmark rate/comm services,H Approps,,1/16/19,Lovick,,SB 5281(S Ways & Means),,,Smith,Lovick,
HB 1194,f,Toxic pollution,H Approps,,2/15/19,Doglio,,SB 5135(S subst for),,,Fitzgibbon,Doglio,
HB 1195,fo,Campaign finance,H subst for,,3/7/19,Hudgins,,SB 5112(S State Govt/Tri),,,Walsh,Hudgins,
HB 1196,f,Perm. daylight saving time,H subst for,,3/9/19,Riccelli,,,,,Steele,Riccelli,
HB 1197,f#,Gold star license plates,H subst for,,2/20/19,Riccelli,,SB 5783(S Transportation),,,Irwin,Riccelli,
HB 1198,f,Health prv misconduct notice,H subst for,,3/4/19,Caldier,,,,,Cody,Caldier,
HB 1199,f,Health care/disability,H subst for,,3/4/19,Cody,,SB 5754(S Health & Long),,,DeBolt,Cody,
HB 1200,fd,Catastrophic incident plans,H Approps,,2/1/19,Dolan,,SB 5247(S subst for),,,Mosbrucker,Dolan,
HB 1201,fd,National guard ed. grants,H Approps,,2/4/19,Kilduff,,SB 5197(S Rules 3),,,Klippert,Kilduff,
HB 1202,f,Public works and procurement,H Approps,,2/8/19,Gregerson,,,,,Santos,Gregerson,
HB 1203,,Lost or stolen firearms,H Civil R & Judi,,1/16/19,Doglio,,,,,Peterson,Doglio,
HB 1204,f#,Plastic packaging,H Env & Energy,,1/16/19,Peterson,,SB 5397(S subst for),,,Doglio,Peterson,
HB 1205,f#,Plastic bags,H Rules R,,2/28/19,Peterson,,SB 5323(S subst for),,,Orwall,Peterson,
HB 1206,,Manuf/mobile home definition,H Civil R & Judi,,1/16/19,Ryu,,,,,Jenkin,Ryu,
HB 1207,f#,Manuf. housing communities,H subst for,,3/13/19,Ryu,,,,,Jenkin,Ryu,
HB 1208,fo,Public accounting services,C 71 L 19,,4/19/19,Vick,,SB 5767(S Labor & Commer),46-0-0-3,,Kirby,Vick,
HB 1209,fe#,"Ballots, prepaid postage",H Approps,,2/13/19,Hansen,,SB 5063(S subst for),,,Jinkins,Hansen,
HB 1210,f,School enrollment/military,H subst for,,3/4/19,Kilduff,,SB 5771(S EL/K-12),,,Leavitt,Kilduff,
HB 1211,fe#,Clean energy,H Approps,,2/22/19,Tarleton,,SB 5116(S subst for),,,Doglio,Tarleton,
HB 1212,f#,Election materials/names,H Rules 3C,,4/28/19,Shea,,,95-0-0-3,,McCaslin,Shea,
HB 1213,f#,Growth mgmt/sup court review,H Env & Energy,,1/16/19,Shea,,,,,McCaslin,Shea,
HB 1214,,"Growth mgmt act, repeal of",H Env & Energy,,1/16/19,Shea,,,,,McCaslin,Shea,
HB 1215,f,Health care balance billing,H HC/Wellness,,1/16/19,Schmick,,,,,Sells,Schmick,
HB 1216,f#,School safety & well-being,H subst for,,3/7/19,Dolan,,SB 5317(S Rules X),,,Harris,Dolan,
HB 1217,f,DFW officer bargaining,H Labor & Workpl,,1/17/19,Blake,,SB 5481(S Labor & Commer),,,Sells,Blake,
HB 1218,,Pacific islanders/dental,H HC/Wellness,,1/17/19,Santos,,ESB 5274(Del to Gov),,,Harris,Santos,
EHB 1219,#,Real estate taxes/housing,C 73 L 19,PV,4/19/19,Walen,,SB 5195(S Rules X),34-13-0-2,,Springer,Walen,
HB 1220,f,Insurance commissioner/PEBB,H Rules 3C,,4/28/19,Dolan,,SB 5275(S Rules X),96-1-0-1,,Volz,Dolan,
HB 1221,f,Youth suicide/crisis plans,H Education,,1/17/19,Orwall,,,,,Harris,Orwall,
HB 1222,f#,PUD contracting,H Rules R,,2/8/19,Griffey,,SB 5191(S Local Governmen),,,Blake,Griffey,
HB 1223,f#,Diaper changing stations,H Rules C,,3/21/19,Reeves,,SB 5156(S Rules X),,,Doglio,Reeves,
HB 1224,f,Rx drug cost transparency,H subst for,,3/8/19,Robinson,,,,,Macri,Robinson,
HB 1225,f#,Domestic violence/law enf.,H subst for,,3/5/19,Jinkins,,,,,Peterson,Jinkins,
HB 1226,f#,Clean energy,H Finance,,2/8/19,DeBolt,,,,,Stokesbary,DeBolt,
HB 1227,,Coroners/subpoena authority,H Rules R,,2/13/19,Walen,,SB 5300(C 237 L 19),,,Klippert,Walen,
HB 1228,fd,Fish barrier removal funding,H Trans,,4/2/19,Chapman,,SB 5130(S Transportation),,,Doglio,Chapman,
HB 1229,f#,"Traffic cameras, photo tolls",H Rules C,,3/21/19,Caldier,,,,,Kilduff,Caldier,
HB 1230,fd,Disabled hunters & fishers,H Approps,,2/5/19,Barkis,,,,,Blake,Barkis,
HB 1231,f#,Sex offenses/modify SOL,H subst for,,3/6/19,Griffey,,,,,Orwall,Griffey,
HB 1232,,Hydroelectricity/renewable,H Env & Energy,,1/17/19,Griffey,,,,,Eslick,Griffey,
HB 1233,f#,GMA/use of science,H Env & Energy,,1/17/19,Griffey,,,,,MacEwen,Griffey,
HB 1234,f#,Sex offenses/eliminate SOL,H Public Safety,,1/17/19,Griffey,,,,,Orwall,Griffey,
HB 1235,,Providing harmful material,H Public Safety,,1/17/19,Griffey,,,,,MacEwen,Griffey,
